,id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,bathrooms,bedrooms
66,80843,Charlottenburg-Wilm.,Schmargendorf,52.48086412777901,13.28998185775034,Entire home/apt,49,2,1,28,1.0,1.0
67,81049,Mitte,Regierungsviertel,52.521839178073215,13.390672160465307,Entire home/apt,155,4,1,286,1.0,2.0
68,81081,Pankow,Prenzlauer Berg Nord,52.5496809620105,13.415277910466587,Entire home/apt,66,3,1,69,1.0,1.0
69,82893,Mitte,Brunnenstr. Süd,52.53199962450306,13.382847513861474,Entire home/apt,70,3,3,225,1.0,1.0
70,83183,Pankow,Prenzlauer Berg Süd,52.5367732257693,13.42446883280099,Entire home/apt,53,2,2,249,1.0,1.0
71,83568,Pankow,Helmholtzplatz,52.54484866792699,13.418909904797257,Entire home/apt,70,3,1,139,2.0,1.0
72,83614,Pankow,Helmholtzplatz,52.54621993958732,13.417857494605347,Entire home/apt,92,1,2,323,1.5,2.0
73,85560,Mitte,Brunnenstr. Süd,52.53181501425351,13.382298973709073,Entire home/apt,75,3,3,328,1.0,1.0
74,86514,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49820825407495,13.441778788008365,Private room,80,2,1,365,1.0,1.0
75,87549,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49615556002189,13.373974369710007,Private room,48,2,1,336,1.0,1.0
76,89102,Pankow,Prenzlauer Berg Südwest,52.54052905754406,13.409949597839894,Entire home/apt,114,10,4,109,1.0,1.0
77,91290,Neukölln,Reuterstraße,52.490038055033466,13.426190641200547,Entire home/apt,60,2,1,2,1.0,1.0
78,102882,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.488783013182776,13.421956318303518,Entire home/apt,506,3,2,0,2.0,5.0
79,106290,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49727117967017,13.4317677280918,Entire home/apt,50,1,1,315,1.0,1.0
80,106331,Pankow,Prenzlauer Berg Süd,52.53370314819088,13.436699040185669,Entire home/apt,82,60,2,319,1.0,1.0
81,107968,Tempelhof - Schöneberg,Schöneberg-Nord,52.49854776932378,13.342940503262401,Entire home/apt,80,3,1,363,1.0,1.0
82,109658,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.524264570238095,13.452067177881744,Entire home/apt,60,3,1,236,1.0,1.0
83,111579,Mitte,Alexanderplatz,52.527201117957055,13.4095282119564,Entire home/apt,70,4,2,194,1.0,1.0
84,114763,Tempelhof - Schöneberg,Schöneberg-Süd,52.488050033648044,13.353250379710676,Entire home/apt,130,3,1,140,1.0,3.0
85,115576,Pankow,Blankenfelde/Niederschönhausen,52.58150268997834,13.3978581755756,Entire home/apt,69,2,1,344,1.0,2.0
86,116832,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49094420157708,13.396194429695148,Entire home/apt,75,14,1,310,1.0,2.0
87,117649,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.50004365663805,13.442648963468384,Entire home/apt,68,60,1,266,1.0,1.0
88,121888,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.518177197329855,13.463995796385912,Entire home/apt,125,7,1,0,1.0,1.0
89,125349,Treptow - Köpenick,Friedrichshagen,52.45105230030461,13.635283164937055,Entire home/apt,70,2,1,340,1.0,1.0
90,127708,Mitte,Alexanderplatz,52.519648803976175,13.410989725180972,Entire home/apt,89,2,5,295,1.0,1.0
91,128827,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.509483216844394,13.46119273281486,Entire home/apt,59,2,1,302,1.0,1.0
92,135097,Tempelhof - Schöneberg,Schöneberg-Nord,52.50089197267288,13.34691847873334,Entire home/apt,96,1,1,202,1.0,3.0
94,139769,Mitte,Alexanderplatz,52.52810573094471,13.39194616349694,Private room,55,2,1,322,1.0,1.0
95,143605,Neukölln,Schillerpromenade,52.47677777481413,13.424371494296867,Entire home/apt,55,30,1,312,1.0,1.0
